[Host/IP]: ec2-34-215-106-99.us-west-2.compute.amazonaws.com - 34.215.106.99 || [Navegador]: Mozilla || [Date]: Sat Sep 30, 2017 3:04 am
[Host/IP]: fixed-187-189-230-103.totalplay.net - 187.189.230.103 || [Navegador]: Mozilla || [Date]: Mon Oct 02, 2017 10:16 pm
[Host/IP]: dsl-189-252-98-168-dyn.prod-infinitum.com.mx - 189.252.98.168 || [Navegador]: Mozilla || [Date]: Wed Oct 04, 2017 10:35 pm
[Host/IP]: ec2-54-149-114-134.us-west-2.compute.amazonaws.com - 54.149.114.134 || [Navegador]: Mozilla || [Date]: Thu Oct 05, 2017 8:08 am
[Host/IP]: customer-LMM-129-239.megared.net.mx - 177.228.129.239 || [Navegador]: Mozilla || [Date]: Thu Oct 05, 2017 11:24 pm
[Host/IP]: ec2-34-214-252-251.us-west-2.compute.amazonaws.com - 34.214.252.251 || [Navegador]: Desconocido || [Date]: Fri Oct 06, 2017 11:12 am
[Host/IP]: msnbot-157-55-39-67.search.msn.com - 157.55.39.67 || [Navegador]: Desconocido || [Date]: Fri Oct 06, 2017 4:40 pm
[Host/IP]: fixed-187-189-83-91.totalplay.net - 187.189.83.91 || [Navegador]: Desconocido || [Date]: Fri Oct 06, 2017 7:32 pm
[Host/IP]: ec2-52-33-127-167.us-west-2.compute.amazonaws.com - 52.33.127.167 || [Navegador]: Mozilla || [Date]: Sun Oct 08, 2017 12:07 am
[Host/IP]: ec2-54-68-59-146.us-west-2.compute.amazonaws.com - 54.68.59.146 || [Navegador]: Opera || [Date]: Mon Oct 09, 2017 1:37 am
[Host/IP]: ec2-34-214-136-88.us-west-2.compute.amazonaws.com - 34.214.136.88 || [Navegador]: Mozilla Firefox 3 || [Date]: Tue Oct 10, 2017 11:56 am
[Host/IP]: msnbot-207-46-13-135.search.msn.com - 207.46.13.135 || [Navegador]: Desconocido || [Date]: Wed Oct 11, 2017 7:45 am
[Host/IP]: customer-CLN-116-185.megared.net.mx - 177.228.116.185 || [Navegador]: Mozilla || [Date]: Thu Oct 12, 2017 12:03 pm
[Host/IP]: customer-189-216-204-41.cablevision.net.mx - 189.216.204.41 || [Navegador]: Mozilla || [Date]: Fri Oct 13, 2017 1:43 am
[Host/IP]: msnbot-40-77-167-86.search.msn.com - 40.77.167.86 || [Navegador]: Desconocido || [Date]: Sat Oct 14, 2017 5:46 am
[Host/IP]: msnbot-40-77-167-65.search.msn.com - 40.77.167.65 || [Navegador]: Desconocido || [Date]: Mon Oct 16, 2017 2:54 pm
[Host/IP]: msnbot-157-55-39-38.search.msn.com - 157.55.39.38 || [Navegador]: Mozilla || [Date]: Thu Oct 19, 2017 2:18 pm
[Host/IP]: msnbot-207-46-13-137.search.msn.com - 207.46.13.137 || [Navegador]: Desconocido || [Date]: Sun Oct 22, 2017 5:32 am
[Host/IP]: msnbot-40-77-167-14.search.msn.com - 40.77.167.14 || [Navegador]: Mozilla || [Date]: Mon Oct 23, 2017 1:11 pm
[Host/IP]: customer-MZT-31-180.megared.net.mx - 200.92.31.180 || [Navegador]: Mozilla || [Date]: Wed Oct 25, 2017 11:19 pm
[Host/IP]: msnbot-40-77-167-29.search.msn.com - 40.77.167.29 || [Navegador]: Mozilla || [Date]: Thu Oct 26, 2017 8:42 am
[Host/IP]: 187.250.138.162.dsl.dyn.telnor.net - 187.250.138.162 || [Navegador]: Mozilla || [Date]: Thu Oct 26, 2017 5:54 pm
[Host/IP]: msnbot-157-55-39-103.search.msn.com - 157.55.39.103 || [Navegador]: Desconocido || [Date]: Sun Oct 29, 2017 1:26 pm
[Host/IP]: CableLink-187-161-235-60.PCs.InterCable.net - 187.161.235.60 || [Navegador]: Mozilla || [Date]: Thu Nov 02, 2017 11:22 pm
[Host/IP]: 201.130.60.196 - 201.130.60.196 || [Navegador]: Mozilla || [Date]: Sat Nov 04, 2017 10:48 am
[Host/IP]: CableLink-187-161-235-76.PCs.InterCable.net - 187.161.235.76 || [Navegador]: Mozilla || [Date]: Mon Nov 06, 2017 4:38 pm
[Host/IP]: msnbot-157-55-39-249.search.msn.com - 157.55.39.249 || [Navegador]: Mozilla || [Date]: Tue Nov 07, 2017 9:50 am
[Host/IP]: customer-187-157-207-149-sta.uninet-ide.com.mx - 187.157.207.149 || [Navegador]: Mozilla || [Date]: Tue Nov 07, 2017 7:47 pm
[Host/IP]: msnbot-207-46-13-22.search.msn.com - 207.46.13.22 || [Navegador]: Desconocido || [Date]: Sat Nov 11, 2017 10:09 am
[Host/IP]: dsl-189-169-187-13-dyn.prod-infinitum.com.mx - 189.169.187.13 || [Navegador]: Mozilla || [Date]: Mon Nov 13, 2017 11:59 am
[Host/IP]: dsl-187-147-67-236-dyn.prod-infinitum.com.mx - 187.147.67.236 || [Navegador]: Mozilla || [Date]: Mon Nov 13, 2017 11:17 pm
[Host/IP]: dsl-189-152-237-173-dyn.prod-infinitum.com.mx - 189.152.237.173 || [Navegador]: Mozilla || [Date]: Thu Nov 16, 2017 12:58 am
[Host/IP]: dsl-187-146-217-157-dyn.prod-infinitum.com.mx - 187.146.217.157 || [Navegador]: Mozilla || [Date]: Tue Nov 21, 2017 5:47 pm
[Host/IP]: msnbot-40-77-167-23.search.msn.com - 40.77.167.23 || [Navegador]: Mozilla || [Date]: Wed Nov 22, 2017 8:39 pm
[Host/IP]: i59F4475D.versanet.de - 89.244.71.93 || [Navegador]: Desconocido || [Date]: Fri Nov 24, 2017 6:07 am
[Host/IP]: msnbot-40-77-167-123.search.msn.com - 40.77.167.123 || [Navegador]: Mozilla || [Date]: Sat Nov 25, 2017 6:13 am
[Host/IP]: msnbot-207-46-13-98.search.msn.com - 207.46.13.98 || [Navegador]: Mozilla || [Date]: Mon Nov 27, 2017 6:29 am
[Host/IP]: dsl-189-167-72-248-dyn.prod-infinitum.com.mx - 189.167.72.248 || [Navegador]: Mozilla || [Date]: Wed Nov 29, 2017 6:03 pm
[Host/IP]: dsl-187-132-141-221-dyn.prod-infinitum.com.mx - 187.132.141.221 || [Navegador]: Mozilla || [Date]: Wed Nov 29, 2017 8:59 pm
[Host/IP]: 176.14.99.17 - 176.14.99.17 || [Navegador]: Internet Explorer 7 || [Date]: Sat Dec 02, 2017 1:25 am
[Host/IP]: c-98-216-135-49.hsd1.ma.comcast.net - 98.216.135.49 || [Navegador]: Opera || [Date]: Sat Dec 02, 2017 1:25 am
[Host/IP]: 91.134.232.48 - 91.134.232.48 || [Navegador]: Mozilla Firefox 2 || [Date]: Sat Dec 02, 2017 1:27 am
[Host/IP]: msnbot-40-77-167-106.search.msn.com - 40.77.167.106 || [Navegador]: Mozilla || [Date]: Tue Dec 05, 2017 1:54 pm
[Host/IP]: msnbot-157-55-39-64.search.msn.com - 157.55.39.64 || [Navegador]: Mozilla || [Date]: Sat Dec 09, 2017 2:03 am
[Host/IP]: msnbot-157-55-39-221.search.msn.com - 157.55.39.221 || [Navegador]: Mozilla || [Date]: Sun Dec 10, 2017 7:11 pm
[Host/IP]: msnbot-207-46-13-66.search.msn.com - 207.46.13.66 || [Navegador]: Mozilla || [Date]: Tue Dec 12, 2017 8:57 pm
[Host/IP]: dsl-187-148-120-65-dyn.prod-infinitum.com.mx - 187.148.120.65 || [Navegador]: Mozilla || [Date]: Wed Dec 13, 2017 9:26 pm
[Host/IP]: msnbot-207-46-13-92.search.msn.com - 207.46.13.92 || [Navegador]: Mozilla || [Date]: Thu Dec 14, 2017 3:47 pm
[Host/IP]: google-proxy-66-102-6-54.google.com - 66.102.6.54 || [Navegador]: Mozilla || [Date]: Sat Dec 16, 2017 10:49 am
[Host/IP]: google-proxy-66-102-6-50.google.com - 66.102.6.50 || [Navegador]: Mozilla || [Date]: Sat Dec 16, 2017 10:49 am
[Host/IP]: msnbot-40-77-167-133.search.msn.com - 40.77.167.133 || [Navegador]: Desconocido || [Date]: Sat Dec 16, 2017 2:47 pm
[Host/IP]: dsl-189-174-182-40-dyn.prod-infinitum.com.mx - 189.174.182.40 || [Navegador]: Mozilla || [Date]: Sat Dec 16, 2017 9:04 pm
[Host/IP]: msnbot-157-55-39-55.search.msn.com - 157.55.39.55 || [Navegador]: Mozilla || [Date]: Mon Dec 18, 2017 5:20 pm
[Host/IP]: dsl-189-157-97-42-dyn.prod-infinitum.com.mx - 189.157.97.42 || [Navegador]: Mozilla || [Date]: Tue Dec 19, 2017 8:55 pm
[Host/IP]: static-148-244-42-175.alestra.net.mx - 148.244.42.175 || [Navegador]: Mozilla Firefox 3 || [Date]: Fri Dec 22, 2017 2:34 pm
[Host/IP]: msnbot-207-46-13-19.search.msn.com - 207.46.13.19 || [Navegador]: Mozilla || [Date]: Sat Dec 23, 2017 7:14 am
[Host/IP]: 189.202.31.164.cable.dyn.cableonline.com.mx - 189.202.31.164 || [Navegador]: Mozilla || [Date]: Wed Dec 27, 2017 3:04 pm
[Host/IP]: msnbot-157-55-39-178.search.msn.com - 157.55.39.178 || [Navegador]: Mozilla || [Date]: Fri Dec 29, 2017 12:09 pm
[Host/IP]: msnbot-157-55-39-81.search.msn.com - 157.55.39.81 || [Navegador]: Mozilla || [Date]: Sun Dec 31, 2017 12:04 pm
[Host/IP]: msnbot-157-55-39-189.search.msn.com - 157.55.39.189 || [Navegador]: Desconocido || [Date]: Sun Dec 31, 2017 11:01 pm
[Host/IP]: msnbot-207-46-13-79.search.msn.com - 207.46.13.79 || [Navegador]: Mozilla || [Date]: Mon Jan 01, 2018 9:21 pm
[Host/IP]: dsl-189-187-137-165-dyn.prod-infinitum.com.mx - 189.187.137.165 || [Navegador]: Mozilla || [Date]: Wed Jan 03, 2018 3:07 pm
[Host/IP]: msnbot-207-46-13-49.search.msn.com - 207.46.13.49 || [Navegador]: Mozilla || [Date]: Wed Jan 03, 2018 3:46 pm
[Host/IP]: dsl-187-146-64-42-dyn.prod-infinitum.com.mx - 187.146.64.42 || [Navegador]: Mozilla || [Date]: Tue Jan 09, 2018 4:41 pm
[Host/IP]: msnbot-40-77-167-64.search.msn.com - 40.77.167.64 || [Navegador]: Desconocido || [Date]: Wed Jan 10, 2018 2:29 pm
[Host/IP]: msnbot-207-46-13-133.search.msn.com - 207.46.13.133 || [Navegador]: Mozilla || [Date]: Thu Jan 11, 2018 11:30 pm
